,Bathrooms,Bedrooms,Price/Sqft,Size,price,title
0,2,1,,1115.00,"AED25,000",                                                                      1bhk 25000 AED in rashdiya tower { 2bhk 31000...                                                              
1,2,2,281 AED,1280.00,"AED360,000",                                                                      GRAB THE BEST DEAL!!! CITY VIEW 2 BEDROOM FOR...                                                              
2,3,2,193 AED,1813.00,"AED350,000","                                                                      Naimiyah Towers: EMPTY, 2 Bed Hall + Maid 181...                                                              "
3,2,2,,1566.00,"AED30,000",                                                                      Rashidiya Towers: 2 Bed Hall (OPEN VIEW) 1566...                                                              
4,3,2,,1600.00,"AED38,000",                                                                      Ajman ONE Towers: 2 BHK (Close Kitchen) and P...                                                              
5,2,1,,1150.00,"AED30,000",                                                                      Ajman ONE Towers: 1 Bed Hall (2 Washroom) and...                                                              
6,2,1,,1004.00,"AED25,000",                                                                      Falcon Towers: 1 Bed Hall and Parking (2 Wash...                                                              
7,2,2,,1280.00,"AED33,000","                                                                      Ajman Pearl Towers: Sea view, 2 BHK with Park...                                                              "
8,2,2,,1300.00,"AED33,000",                                                                      2 Bhk Apartment(Creek View)(With Parking)-Pea...                                                              
9,2,2,,1248.00,"AED35,000",                                                                      2 BHk Apartment(Open View)(Close Kitchen)-Cit...                                                              
